Problem no : 1
Source:  (90.363833, 23.834145)
Destination:  (90.37836, 23.75693)
Ride Car from  (90.36818000000001, 23.808691) to (90.368237, 23.808491)
Ride Car from  (90.368237, 23.808491) to (90.36826500000001, 23.808393)
Ride Car from  (90.36826500000001, 23.808393) to (90.368481, 23.80763)
Ride Car from  (90.368481, 23.80763) to (90.368626, 23.807119)
Ride Car from  (90.368626, 23.807119) to (90.368654, 23.807017000000002)
Ride Car from  (90.368654, 23.807017000000002) to (90.368726, 23.806756)
Ride Car from  (90.368726, 23.806756) to (90.36875400000001, 23.806656)
Ride Car from  (90.36875400000001, 23.806656) to (90.368835, 23.806442)
Ride Car from  (90.368835, 23.806442) to (90.36905, 23.805951)
Ride Car from  (90.36905, 23.805951) to (90.369084, 23.805873000000002)
Ride Car from  (90.369084, 23.805873000000002) to (90.369223, 23.805553)
Ride Car from  (90.369223, 23.805553) to (90.369288, 23.805404)
Ride Car from  (90.369288, 23.805404) to (90.36949200000001, 23.804995)
Ride Car from  (90.36949200000001, 23.804995) to (90.369672, 23.804634)
Ride Car from  (90.369672, 23.804634) to (90.369741, 23.804497)
Ride Car from  (90.369741, 23.804497) to (90.36983599999999, 23.804307)
Ride Car from  (90.36983599999999, 23.804307) to (90.369938, 23.804101)
Ride Car from  (90.369938, 23.804101) to (90.37011700000001, 23.803745000000003)
Ride Car from  (90.37011700000001, 23.803745000000003) to (90.370159, 23.803662)
Ride Car from  (90.370159, 23.803662) to (90.37020799999999, 23.803547000000002)
Ride Car from  (90.37020799999999, 23.803547000000002) to (90.370297, 23.803335)
Ride Car from  (90.370297, 23.803335) to (90.370338, 23.803239)
Ride Car from  (90.370338, 23.803239) to (90.370483, 23.802896)
Ride Car from  (90.370483, 23.802896) to (90.370564, 23.802708)
Ride Car from  (90.370564, 23.802708) to (90.3706, 23.802625)
Ride Car from  (90.3706, 23.802625) to (90.370836, 23.802073999999998)
Ride Car from  (90.370836, 23.802073999999998) to (90.37089499999999, 23.801935)
Ride Car from  (90.37089499999999, 23.801935) to (90.37106700000001, 23.801532)
Ride Car from  (90.37106700000001, 23.801532) to (90.371197, 23.801223999999998)
Ride Car from  (90.371197, 23.801223999999998) to (90.371336, 23.800898)
Ride Car from  (90.371336, 23.800898) to (90.371414, 23.800714000000003)
Ride Car from  (90.371414, 23.800714000000003) to (90.371483, 23.800552)
Ride Car from  (90.371483, 23.800552) to (90.3715, 23.80051)
Ride Car from  (90.3715, 23.80051) to (90.37153599999999, 23.800428)
Ride Car from  (90.37153599999999, 23.800428) to (90.371735, 23.799963)
Ride Car from  (90.371735, 23.799963) to (90.371966, 23.799425)
Ride Car from  (90.371966, 23.799425) to (90.372061, 23.799184)
Ride Car from  (90.372061, 23.799184) to (90.372187, 23.798902)
Ride Car from  (90.372187, 23.798902) to (90.372416, 23.798357)
Ride Car from  (90.372416, 23.798357) to (90.372793, 23.797439999999998)
Ride Car from  (90.372793, 23.797439999999998) to (90.372853, 23.7973)
Ride Car from  (90.372853, 23.7973) to (90.372943, 23.797086)
Ride Car from  (90.372943, 23.797086) to (90.373183, 23.79652)
Ride Car from  (90.373183, 23.79652) to (90.37320799999999, 23.796460999999997)
Ride Car from  (90.37320799999999, 23.796460999999997) to (90.37329799999999, 23.796252)
Ride Car from  (90.37329799999999, 23.796252) to (90.373544, 23.795676999999998)
Ride Car from  (90.373544, 23.795676999999998) to (90.37364699999999, 23.795438)
Ride Car from  (90.37364699999999, 23.795438) to (90.373751, 23.795194)
Ride Car from  (90.373751, 23.795194) to (90.373825, 23.79502)
Ride Car from  (90.373825, 23.79502) to (90.373856, 23.794949)
Ride Car from  (90.373856, 23.794949) to (90.373997, 23.794596)
Ride Car from  (90.373997, 23.794596) to (90.374188, 23.794119)
Ride Car from  (90.374188, 23.794119) to (90.37427199999999, 23.793924)
Ride Car from  (90.37427199999999, 23.793924) to (90.374437, 23.793544)
Ride Car from  (90.374437, 23.793544) to (90.374477, 23.793453)
Ride Car from  (90.374477, 23.793453) to (90.374575, 23.793232)
Ride Car from  (90.374575, 23.793232) to (90.374785, 23.792706)
Ride Car from  (90.374785, 23.792706) to (90.374821, 23.792614999999998)
Ride Car from  (90.374821, 23.792614999999998) to (90.374845, 23.792558)
Ride Car from  (90.374845, 23.792558) to (90.374966, 23.792273)
Ride Car from  (90.374966, 23.792273) to (90.375033, 23.792114)
Ride Car from  (90.375033, 23.792114) to (90.37525, 23.791618)
Ride Car from  (90.37525, 23.791618) to (90.375263, 23.791588)
Ride Car from  (90.375263, 23.791588) to (90.375354, 23.79138)
Ride Car from  (90.375354, 23.79138) to (90.375552, 23.790927)
Ride Car from  (90.375552, 23.790927) to (90.375743, 23.790491)
Ride Car from  (90.375743, 23.790491) to (90.375786, 23.790389)
Ride Car from  (90.375786, 23.790389) to (90.375948, 23.790021)
Ride Car from  (90.375948, 23.790021) to (90.376115, 23.789647)
Ride Car from  (90.376115, 23.789647) to (90.376133, 23.789607)
Ride Car from  (90.376133, 23.789607) to (90.376294, 23.789247)
Ride Car from  (90.376294, 23.789247) to (90.37644300000001, 23.788885)
Ride Car from  (90.37644300000001, 23.788885) to (90.376537, 23.788676000000002)
Ride Car from  (90.376537, 23.788676000000002) to (90.37659000000001, 23.788557)
Ride Car from  (90.37659000000001, 23.788557) to (90.376772, 23.788145)
Ride Car from  (90.376772, 23.788145) to (90.376798, 23.788087)
Ride Car from  (90.376798, 23.788087) to (90.377143, 23.787293)
Ride Car from  (90.377143, 23.787293) to (90.377166, 23.787237)
Ride Car from  (90.377166, 23.787237) to (90.377392, 23.786714)
Ride Car from  (90.377392, 23.786714) to (90.377471, 23.786526000000002)
Ride Car from  (90.377471, 23.786526000000002) to (90.37756800000001, 23.786294)
Ride Car from  (90.37756800000001, 23.786294) to (90.37779, 23.785763)
Ride Car from  (90.37779, 23.785763) to (90.377973, 23.785327)
Ride Car from  (90.377973, 23.785327) to (90.378069, 23.785113)
Ride Car from  (90.378069, 23.785113) to (90.378136, 23.784941)
Ride Car from  (90.378136, 23.784941) to (90.378203, 23.784771)
Ride Car from  (90.378203, 23.784771) to (90.378302, 23.784459)
Ride Car from  (90.378302, 23.784459) to (90.378502, 23.783828)
Ride Car from  (90.378502, 23.783828) to (90.378656, 23.783412)
Ride Car from  (90.378656, 23.783412) to (90.378692, 23.783314999999998)
Ride Car from  (90.378692, 23.783314999999998) to (90.378826, 23.782925)
Ride Car from  (90.378826, 23.782925) to (90.378877, 23.782777)
Ride Car from  (90.378877, 23.782777) to (90.379181, 23.781792000000003)
Ride Car from  (90.379181, 23.781792000000003) to (90.379228, 23.781637)
Ride Car from  (90.379228, 23.781637) to (90.379583, 23.780457000000002)
Ride Car from  (90.379583, 23.780457000000002) to (90.379592, 23.780428)
Ride Car from  (90.379592, 23.780428) to (90.379894, 23.779366)
Ride Car from  (90.379894, 23.779366) to (90.380077, 23.778723)
Ride Car from  (90.380077, 23.778723) to (90.380444, 23.777563)
Ride Car from  (90.380444, 23.777563) to (90.380682, 23.776812)
Ride Car from  (90.380682, 23.776812) to (90.38080500000001, 23.776426)
Ride Car from  (90.38080500000001, 23.776426) to (90.381452, 23.774201)
Ride Car from  (90.381452, 23.774201) to (90.38167299999999, 23.773442000000003)
Ride Car from  (90.38167299999999, 23.773442000000003) to (90.381704, 23.77334)
Ride Car from  (90.381704, 23.77334) to (90.38189200000001, 23.772725)
Ride Car from  (90.38189200000001, 23.772725) to (90.38215699999999, 23.771912)
Ride Car from  (90.38215699999999, 23.771912) to (90.382191, 23.771810000000002)
Ride Car from  (90.382191, 23.771810000000002) to (90.38246600000001, 23.770982999999998)
Ride Car from  (90.38246600000001, 23.770982999999998) to (90.382499, 23.770808)
Ride Car from  (90.382499, 23.770808) to (90.382573, 23.770329999999998)
Ride Car from  (90.382573, 23.770329999999998) to (90.38265899999999, 23.769810999999997)
Ride Car from  (90.38265899999999, 23.769810999999997) to (90.382862, 23.769095999999998)
Ride Car from  (90.382862, 23.769095999999998) to (90.383073, 23.76844)
Ride Car from  (90.383073, 23.76844) to (90.383185, 23.766716)
Ride Car from  (90.383185, 23.766716) to (90.383248, 23.766135000000002)
Ride Car from  (90.383248, 23.766135000000002) to (90.383391, 23.765135)
Ride Car from  (90.383391, 23.765135) to (90.38347900000001, 23.763623000000003)
Ride Car from  (90.38347900000001, 23.763623000000003) to (90.38354, 23.762504999999997)
Ride Car from  (90.38354, 23.762504999999997) to (90.383556, 23.762201)
Ride Car from  (90.383556, 23.762201) to (90.38359, 23.761567000000003)
Ride Car from  (90.38359, 23.761567000000003) to (90.38361, 23.761283)
Ride Car from  (90.38361, 23.761283) to (90.383698, 23.759989)
Ride Car from  (90.383698, 23.759989) to (90.383775, 23.758856)
Ride Car from  (90.383775, 23.758856) to (90.38258499999999, 23.758774)
Ride Car from  (90.38258499999999, 23.758774) to (90.381874, 23.758724)
Ride Car from  (90.381874, 23.758724) to (90.381192, 23.758677)
Ride Car from  (90.381192, 23.758677) to (90.380886, 23.758654999999997)
Ride Car from  (90.380886, 23.758654999999997) to (90.380049, 23.758598000000003)
Ride Car from  (90.380049, 23.758598000000003) to (90.37942, 23.758554)
Ride Car from  (90.37942, 23.758554) to (90.379492, 23.758122)
Ride Car from  (90.379492, 23.758122) to (90.379537, 23.75785)
Ride Car from  (90.379537, 23.75785) to (90.379561, 23.757704)
Ride Car from  (90.379561, 23.757704) to (90.379683, 23.756975)
Ride Car from  (90.379683, 23.756975) to (90.378751, 23.756943)
Ride Car from  (90.378751, 23.756943) to (90.37835600000001, 23.756928)
Walk from  (90.37835600000001, 23.756928) to Destination (90.37836, 23.75693)
