Problem no : 1
Source:  (90.36295, 23.80874)
Destination:  (90.40737, 23.73176)
Ride Car from  (90.372061, 23.799184) to (90.372187, 23.798902)
Ride Car from  (90.372187, 23.798902) to (90.372416, 23.798357)
Ride Car from  (90.372416, 23.798357) to (90.372793, 23.797439999999998)
Ride Car from  (90.372793, 23.797439999999998) to (90.372853, 23.7973)
Ride Car from  (90.372853, 23.7973) to (90.372943, 23.797086)
Ride Car from  (90.372943, 23.797086) to (90.373183, 23.79652)
Ride Car from  (90.373183, 23.79652) to (90.37320799999999, 23.796460999999997)
Ride Car from  (90.37320799999999, 23.796460999999997) to (90.37329799999999, 23.796252)
Ride Car from  (90.37329799999999, 23.796252) to (90.373544, 23.795676999999998)
Ride Car from  (90.373544, 23.795676999999998) to (90.37364699999999, 23.795438)
Ride Car from  (90.37364699999999, 23.795438) to (90.373751, 23.795194)
Ride Car from  (90.373751, 23.795194) to (90.373825, 23.79502)
Ride Car from  (90.373825, 23.79502) to (90.373856, 23.794949)
Ride Car from  (90.373856, 23.794949) to (90.373997, 23.794596)
Ride Car from  (90.373997, 23.794596) to (90.374188, 23.794119)
Ride Car from  (90.374188, 23.794119) to (90.37427199999999, 23.793924)
Ride Car from  (90.37427199999999, 23.793924) to (90.374437, 23.793544)
Ride Car from  (90.374437, 23.793544) to (90.374477, 23.793453)
Ride Car from  (90.374477, 23.793453) to (90.374575, 23.793232)
Ride Car from  (90.374575, 23.793232) to (90.374785, 23.792706)
Ride Car from  (90.374785, 23.792706) to (90.374821, 23.792614999999998)
Ride Car from  (90.374821, 23.792614999999998) to (90.374845, 23.792558)
Ride Car from  (90.374845, 23.792558) to (90.374966, 23.792273)
Ride Car from  (90.374966, 23.792273) to (90.375033, 23.792114)
Ride Car from  (90.375033, 23.792114) to (90.37525, 23.791618)
Ride Car from  (90.37525, 23.791618) to (90.375263, 23.791588)
Ride Car from  (90.375263, 23.791588) to (90.375354, 23.79138)
Ride Car from  (90.375354, 23.79138) to (90.375552, 23.790927)
Ride Car from  (90.375552, 23.790927) to (90.375743, 23.790491)
Ride Car from  (90.375743, 23.790491) to (90.375786, 23.790389)
Ride Car from  (90.375786, 23.790389) to (90.375948, 23.790021)
Ride Car from  (90.375948, 23.790021) to (90.376115, 23.789647)
Ride Car from  (90.376115, 23.789647) to (90.376133, 23.789607)
Ride Car from  (90.376133, 23.789607) to (90.376294, 23.789247)
Ride Car from  (90.376294, 23.789247) to (90.37644300000001, 23.788885)
Ride Car from  (90.37644300000001, 23.788885) to (90.376537, 23.788676000000002)
Ride Car from  (90.376537, 23.788676000000002) to (90.37659000000001, 23.788557)
Ride Car from  (90.37659000000001, 23.788557) to (90.376772, 23.788145)
Ride Car from  (90.376772, 23.788145) to (90.376798, 23.788087)
Ride Car from  (90.376798, 23.788087) to (90.377143, 23.787293)
Ride Car from  (90.377143, 23.787293) to (90.377166, 23.787237)
Ride Car from  (90.377166, 23.787237) to (90.377392, 23.786714)
Ride Car from  (90.377392, 23.786714) to (90.377471, 23.786526000000002)
Ride Car from  (90.377471, 23.786526000000002) to (90.37756800000001, 23.786294)
Ride Car from  (90.37756800000001, 23.786294) to (90.37779, 23.785763)
Ride Car from  (90.37779, 23.785763) to (90.377973, 23.785327)
Ride Car from  (90.377973, 23.785327) to (90.378069, 23.785113)
Ride Car from  (90.378069, 23.785113) to (90.378136, 23.784941)
Ride Car from  (90.378136, 23.784941) to (90.378203, 23.784771)
Ride Car from  (90.378203, 23.784771) to (90.378302, 23.784459)
Ride Car from  (90.378302, 23.784459) to (90.378502, 23.783828)
Ride Car from  (90.378502, 23.783828) to (90.378656, 23.783412)
Ride Car from  (90.378656, 23.783412) to (90.378692, 23.783314999999998)
Ride Car from  (90.378692, 23.783314999999998) to (90.378826, 23.782925)
Ride Car from  (90.378826, 23.782925) to (90.378877, 23.782777)
Ride Car from  (90.378877, 23.782777) to (90.379181, 23.781792000000003)
Ride Car from  (90.379181, 23.781792000000003) to (90.379228, 23.781637)
Ride Car from  (90.379228, 23.781637) to (90.379583, 23.780457000000002)
Ride Car from  (90.379583, 23.780457000000002) to (90.379592, 23.780428)
Ride Car from  (90.379592, 23.780428) to (90.379894, 23.779366)
Ride Car from  (90.379894, 23.779366) to (90.380077, 23.778723)
Ride Car from  (90.380077, 23.778723) to (90.380444, 23.777563)
Ride Car from  (90.380444, 23.777563) to (90.380682, 23.776812)
Ride Car from  (90.380682, 23.776812) to (90.38080500000001, 23.776426)
Ride Car from  (90.38080500000001, 23.776426) to (90.381452, 23.774201)
Ride Car from  (90.381452, 23.774201) to (90.38167299999999, 23.773442000000003)
Ride Car from  (90.38167299999999, 23.773442000000003) to (90.381704, 23.77334)
Ride Car from  (90.381704, 23.77334) to (90.38189200000001, 23.772725)
Ride Car from  (90.38189200000001, 23.772725) to (90.38215699999999, 23.771912)
Ride Car from  (90.38215699999999, 23.771912) to (90.382191, 23.771810000000002)
Ride Car from  (90.382191, 23.771810000000002) to (90.38246600000001, 23.770982999999998)
Ride Car from  (90.38246600000001, 23.770982999999998) to (90.382499, 23.770808)
Ride Car from  (90.382499, 23.770808) to (90.382573, 23.770329999999998)
Ride Car from  (90.382573, 23.770329999999998) to (90.38265899999999, 23.769810999999997)
Ride Car from  (90.38265899999999, 23.769810999999997) to (90.382862, 23.769095999999998)
Ride Car from  (90.382862, 23.769095999999998) to (90.383073, 23.76844)
Ride Car from  (90.383073, 23.76844) to (90.383185, 23.766716)
Ride Car from  (90.383185, 23.766716) to (90.383248, 23.766135000000002)
Ride Car from  (90.383248, 23.766135000000002) to (90.383391, 23.765135)
Ride Car from  (90.383391, 23.765135) to (90.38436800000001, 23.765113)
Ride Car from  (90.38436800000001, 23.765113) to (90.385566, 23.764922)
Ride Car from  (90.385566, 23.764922) to (90.38906, 23.764362)
Ride Car from  (90.38906, 23.764362) to (90.38910600000001, 23.764035)
Ride Car from  (90.38910600000001, 23.764035) to (90.389124, 23.763534)
Ride Car from  (90.389124, 23.763534) to (90.38916800000001, 23.762951)
Ride Car from  (90.38916800000001, 23.762951) to (90.389184, 23.762764)
Ride Car from  (90.389184, 23.762764) to (90.389201, 23.76257)
Ride Car from  (90.389201, 23.76257) to (90.38924300000001, 23.762123000000003)
Ride Car from  (90.38924300000001, 23.762123000000003) to (90.389263, 23.761944)
Ride Car from  (90.389263, 23.761944) to (90.389359, 23.761093)
Ride Car from  (90.389359, 23.761093) to (90.389505, 23.760385999999997)
Ride Car from  (90.389505, 23.760385999999997) to (90.389528, 23.760293)
Ride Car from  (90.389528, 23.760293) to (90.389659, 23.759774)
Ride Car from  (90.389659, 23.759774) to (90.38981, 23.759175)
Ride Car from  (90.38981, 23.759175) to (90.389841, 23.759079)
Ride Car from  (90.389841, 23.759079) to (90.39012199999999, 23.758538)
Ride Car from  (90.39012199999999, 23.758538) to (90.39015699999999, 23.758382)
Ride Car from  (90.39015699999999, 23.758382) to (90.390298, 23.757687)
Ride Car from  (90.390298, 23.757687) to (90.390709, 23.756672000000002)
Ride Car from  (90.390709, 23.756672000000002) to (90.391254, 23.755329999999997)
Ride Car from  (90.391254, 23.755329999999997) to (90.391666, 23.754312)
Ride Car from  (90.391666, 23.754312) to (90.391823, 23.753885999999998)
Ride Car from  (90.391823, 23.753885999999998) to (90.392022, 23.753352)
Ride Car from  (90.392022, 23.753352) to (90.39223199999999, 23.752799)
Ride Car from  (90.39223199999999, 23.752799) to (90.392442, 23.752245000000002)
Ride Car from  (90.392442, 23.752245000000002) to (90.392635, 23.751738)
Ride Car from  (90.392635, 23.751738) to (90.393274, 23.750220000000002)
Ride Car from  (90.393274, 23.750220000000002) to (90.393422, 23.749833)
Ride Car from  (90.393422, 23.749833) to (90.394407, 23.747052)
Ride Car from  (90.394407, 23.747052) to (90.394775, 23.745929999999998)
Ride Car from  (90.394775, 23.745929999999998) to (90.394976, 23.745276999999998)
Ride Car from  (90.394976, 23.745276999999998) to (90.39517099999999, 23.744603)
Ride Car from  (90.39517099999999, 23.744603) to (90.395356, 23.744029)
Ride Car from  (90.395356, 23.744029) to (90.39546, 23.74373)
Ride Car from  (90.39546, 23.74373) to (90.395794, 23.742772)
Ride Car from  (90.395794, 23.742772) to (90.395825, 23.742628)
Ride Car from  (90.395825, 23.742628) to (90.395911, 23.742234)
Ride Car from  (90.395911, 23.742234) to (90.39605999999999, 23.741405)
Ride Car from  (90.39605999999999, 23.741405) to (90.396087, 23.741201)
Ride Car from  (90.396087, 23.741201) to (90.39594100000001, 23.738364999999998)
Ride Car from  (90.39594100000001, 23.738364999999998) to (90.396047, 23.738331)
Ride Car from  (90.396047, 23.738331) to (90.396151, 23.738265)
Ride Car from  (90.396151, 23.738265) to (90.396206, 23.738159)
Ride Car from  (90.396206, 23.738159) to (90.39692600000001, 23.738157)
Ride Car from  (90.39692600000001, 23.738157) to (90.397574, 23.738085)
Ride Car from  (90.397574, 23.738085) to (90.397914, 23.738025)
Ride Car from  (90.397914, 23.738025) to (90.39837800000001, 23.737884)
Ride Car from  (90.39837800000001, 23.737884) to (90.398881, 23.737696)
Ride Car from  (90.398881, 23.737696) to (90.39907099999999, 23.737598000000002)
Ride Car from  (90.39907099999999, 23.737598000000002) to (90.399135, 23.737565)
Ride Car from  (90.399135, 23.737565) to (90.399181, 23.737542)
Ride Car from  (90.399181, 23.737542) to (90.39922299999999, 23.7375)
Ride Car from  (90.39922299999999, 23.7375) to (90.399388, 23.737337)
Ride Car from  (90.399388, 23.737337) to (90.399652, 23.736929)
Ride Car from  (90.399652, 23.736929) to (90.399771, 23.736720000000002)
Ride Car from  (90.399771, 23.736720000000002) to (90.400095, 23.736151)
Ride Car from  (90.400095, 23.736151) to (90.400129, 23.73609)
Ride Car from  (90.400129, 23.73609) to (90.400573, 23.735294)
Ride Car from  (90.400573, 23.735294) to (90.400825, 23.734842999999998)
Ride Car from  (90.400825, 23.734842999999998) to (90.401044, 23.734534)
Ride Car from  (90.401044, 23.734534) to (90.401364, 23.734385999999997)
Ride Car from  (90.401364, 23.734385999999997) to (90.402004, 23.734091)
Ride Car from  (90.402004, 23.734091) to (90.40213, 23.734048)
Ride Car from  (90.40213, 23.734048) to (90.402489, 23.733926)
Ride Car from  (90.402489, 23.733926) to (90.403085, 23.733836)
Ride Car from  (90.403085, 23.733836) to (90.403667, 23.733746)
Ride Car from  (90.403667, 23.733746) to (90.40379300000001, 23.733726)
Ride Car from  (90.40379300000001, 23.733726) to (90.404287, 23.733725)
Ride Car from  (90.404287, 23.733725) to (90.404813, 23.733723)
Ride Car from  (90.404813, 23.733723) to (90.40626999999999, 23.733598)
Ride Car from  (90.40626999999999, 23.733598) to (90.406491, 23.733579000000002)
Ride Car from  (90.406491, 23.733579000000002) to (90.40649, 23.733547)
Ride Car from  (90.40649, 23.733547) to (90.407388, 23.733273999999998)
Ride Car from  (90.407388, 23.733273999999998) to (90.407461, 23.733263)
Ride Car from  (90.407461, 23.733263) to (90.407374, 23.731759)
Walk from  (90.407374, 23.731759) to Destination (90.40737, 23.73176)
